school.name,2015.student.size,location.lat,location.lon,school.state
Chapman University,6281,33.793678,-117.851481,CA
Cerritos College,20439,33.88584,-118.097263,CA
East Los Angeles College,32384,34.039205,-118.148384,CA
Diablo Valley College,17868,37.968035,-122.069861,CA
University of California-Riverside,18597,33.97588,-117.331098,CA
University of California-Davis,28239,38.539895,-121.751958,CA
University of California-Santa Cruz,16231,36.997258,-122.067993,CA
University of California-San Diego,26584,32.876598,-117.237793,CA
Canada College,5192,37.447365,-122.265549,CA
Bakersfield College,17918,35.4108,-118.973491,CA
University of La Verne,5140,34.10086,-117.772634,CA
Glendale Community College,13928,34.166422,-118.228251,CA
Foothill College,13930,37.361104,-122.12833,CA
Long Beach City College,23215,33.831741,-118.135819,CA
Los Angeles Pierce College,18578,34.184184,-118.577194,CA
Los Angeles City College,15634,34.087301,-118.292169,CA
Colorado State University-Fort Collins,22727,40.574759,-105.08083,CO
Yuba College,6193,39.125995,-121.539316,CA
Mt San Antonio College,26441,34.043786,-117.8437,CA
Palomar College,21154,33.15019,-117.181718,CA
Los Angeles Valley College,16466,34.176406,-118.421446,CA
Mt San Jacinto Community College District,13948,33.807364,-116.970063,CA
Moorpark College,13327,34.300018,-118.836624,CA
Oxnard College,6539,34.164899,-119.15549,CA
Santa Barbara City College,15092,34.406788,-119.698045,CA
Sonoma State University,8589,38.341023,-122.673261,CA
Southwestern College,16786,32.641567,-116.997215,CA
Solano Community College,8398,38.235513,-122.120232,CA
San Bernardino Valley College,11503,34.088717,-117.313814,CA
Santa Clara University,5344,37.352706,-121.938189,CA
University of Southern California,18519,34.021058,-118.283858,CA
West Valley College,7504,37.263133,-122.009701,CA
Laney College,10339,37.796205,-122.262434,CA
Los Angeles Trade Technical College,12584,34.032623,-118.269113,CA
Merced College,9114,37.335348,-120.476726,CA
Los Medanos College,7883,38.005552,-121.861122,CA
Pikes Peak Community College,11043,38.764287,-104.787261,CO
University of Northern Colorado,8915,40.403178,-104.701721,CO
University of Connecticut,18451,41.806261,-72.247969,CT
Howard University,6796,38.920739,-77.019478,DC
Georgetown University,7168,38.908809,-77.073463,DC
University of Hartford,5028,41.796485,-72.714965,CT
Western Connecticut State University,5081,41.400365,-73.444264,CT
American University,7300,38.937802,-77.090106,DC
Quinnipiac University,6931,41.419527,-72.895542,CT
Naugatuck Valley Community College,6302,41.549564,-73.071209,CT
Manchester Community College,5952,41.760484,-72.562577,CT
University of Central Florida,54091,28.60106,-81.198805,FL
Daytona State College,12474,29.202286,-81.051266,FL
Florida Atlantic University,24228,26.372536,-80.102293,FL
Florida State College at Jacksonville,21565,30.334918,-81.659901,FL
Florida Agricultural and Mechanical University,7705,30.428554,-84.285644,FL
Florida SouthWestern State College,10780,26.554737,-81.887375,FL
San Francisco State University,25867,37.721345,-122.477905,CA
San Jose State University,26670,37.335201,-121.881214,CA
Sacramento City College,20781,38.541883,-121.49166,CA
Pasadena City College,25234,34.144552,-118.118196,CA
San Diego City College,14129,32.718855,-117.151641,CA
Rio Hondo College,15941,34.019878,-118.033329,CA
Santa Ana College,27575,33.759203,-117.888384,CA
San Jose City College,7271,37.316293,-121.929747,CA
University of Cincinnati-Main Campus,24066,39.131159,-84.51428,OH
Columbus State Community College,12643,39.969976,-82.987654,OH
University of Akron Main Campus,17240,41.077768,-81.510328,OH
North Dakota State University-Main Campus,11719,46.894523,-96.805689,ND
University of Dayton,8556,39.73686,-84.173662,OH
Sinclair Community College,16282,39.757598,-84.200628,OH
Owens Community College,7655,41.588272,-83.536023,OH
North Carolina Central University,5797,35.974237,-78.898602,NC
